time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:35:704,0.030,0.000,-0.080,-96.890,-89.710,-1.630
09:39:35:738,0.030,0.000,-0.080,-96.890,-89.710,-1.630
09:39:35:771,0.030,0.000,-0.080,-96.890,-89.710,-1.630
09:39:35:804,0.030,0.000,-0.080,-96.890,-89.710,-1.630
09:39:35:837,0.030,0.000,-0.080,-96.890,-89.710,-1.630
09:39:35:871,-0.020,0.040,0.000,-92.900,-90.170,-0.190
09:39:35:904,-0.030,0.060,0.030,-88.400,-90.750,1.110
09:39:35:937,0.180,-0.190,-0.060,-86.570,-89.650,1.610
09:39:35:971,0.180,-0.190,-0.060,-86.570,-89.650,1.610
09:39:36:003,0.180,0.000,-0.020,-93.080,-85.790,-6.610
09:39:36:037,0.080,-0.130,-0.140,-89.550,-86.640,-10.850
09:39:36:071,0.120,-0.010,-0.180,-97.050,-87.540,-4.290
09:39:36:103,0.180,-0.030,-0.140,-99.840,-89.590,-7.040
09:39:36:137,0.180,-0.030,-0.140,-99.840,-89.590,-7.040
09:39:36:170,0.180,-0.030,-0.140,-99.840,-89.590,-7.040
09:39:36:204,0.140,-0.030,-0.150,-96.940,-87.350,-10.440
09:39:36:237,0.100,0.020,-0.140,-98.730,-87.980,-7.230
09:39:36:270,0.120,0.040,-0.120,-97.620,-89.640,-5.090
09:39:36:303,0.160,-0.020,-0.100,-97.010,-88.040,-7.410
09:39:36:337,0.160,-0.020,-0.100,-97.010,-88.040,-7.410
09:39:36:370,0.160,-0.020,-0.100,-97.010,-88.040,-7.410
09:39:36:404,0.170,0.020,-0.100,-95.530,-88.150,-9.580
09:39:36:437,0.130,0.000,-0.080,-96.110,-88.320,-9.710
09:39:36:470,0.100,-0.010,-0.090,-94.730,-89.630,-6.570
09:39:36:503,0.100,-0.010,-0.070,-95.230,-89.610,-4.990
09:39:36:537,0.100,-0.010,-0.070,-95.230,-89.610,-4.990
